iteration,cumulative_seconds,relative_gap
1,0.022001,9.130638191978
2,0.043442,1.431660597059
3,0.063173,1.246956940399
4,0.096725,0.527006363355
5,0.117854,0.246038728268
6,0.140338,0.176823886119
7,0.163657,0.144458116304
8,0.185006,0.127409485440
9,0.209741,0.113683694769
10,0.230390,0.102047057187
11,0.250862,0.089207550862
12,0.269259,0.081049794107
13,0.293228,0.075252116604
14,0.318288,0.068017476506
15,0.342755,0.066440240039
16,0.361884,0.059864542425
17,0.381747,0.055759926355
18,0.399992,0.052402886859
19,0.419861,0.049369917891
20,0.443765,0.049123444933
21,0.462511,0.046329901242
22,0.480228,0.042578213599
23,0.497643,0.041426957216
24,0.518167,0.038868490666
25,0.540873,0.037077858548
26,0.561011,0.036480554325
27,0.581217,0.035744428873
28,0.599524,0.033794854447
29,0.618953,0.032200272177
30,0.636852,0.032098174939
31,0.656077,0.030146039890
32,0.679100,0.029187286274
33,0.699064,0.028188042727
34,0.719782,0.027460075225
35,0.739601,0.027101379992
36,0.759555,0.026919264251
37,0.780021,0.025010053664
38,0.800236,0.024823754825
39,0.820524,0.024175458247
40,0.837886,0.023079281222
41,0.859035,0.022932037236
42,0.964136,0.022575594430
43,0.992813,0.021808024639
44,1.029644,0.021156172295
45,1.066098,0.020810764593
46,1.094121,0.020238135360
47,1.116093,0.020099994396
48,1.141835,0.019357403202
49,1.163699,0.019245868374
50,1.183398,0.019320539451
51,1.203547,0.018121379082
52,1.231794,0.017985889952
53,1.263396,0.017655056916
54,1.297670,0.017500145029
55,1.324879,0.017295270905
56,1.352949,0.016453062765
57,1.384669,0.016413409908
58,1.410463,0.016128202643
59,1.428947,0.015670691203
60,1.448618,0.015668616899
61,1.467367,0.015134910654
62,1.489825,0.014799697337
63,1.513365,0.015204278720
64,1.533333,0.014835379705
65,1.553352,0.014478339636
66,1.574581,0.014287635046
67,1.593009,0.013775188201
68,1.622457,0.013680254990
69,1.643738,0.013708035658
70,1.662653,0.013164870077
71,1.682622,0.013115720645
72,1.701380,0.013122334883
73,1.729085,0.012728081304
74,1.763521,0.012725801515
75,1.786202,0.012381954889
76,1.812201,0.012219159412
77,1.842847,0.012086432170
78,1.877958,0.012052349650
79,1.900926,0.011965330624
80,1.923854,0.011802685393
81,1.945417,0.011265503850
82,1.966785,0.011357788688
83,1.992715,0.011456471617
84,2.012318,0.010983092996
85,2.031727,0.010972453821
86,2.051720,0.010948195254
87,2.074180,0.010609107248
88,2.096387,0.010644395132
89,2.118882,0.010693280149
90,2.138947,0.010173092272
91,2.160300,0.010204015974
92,2.181659,0.010233381850
93,2.203784,0.010012983168
94,2.230847,0.009901881883
95,2.249941,0.009936811364
96,2.277750,0.009495337893
