iteration,cumulative_seconds,relative_gap
1,0.0406060219,9.130638191978e+00
2,0.0794034004,1.431660597059e+00
3,0.1233577728,1.246956940399e+00
4,0.1638083458,5.270063633549e-01
5,0.2043507099,2.460387282681e-01
6,0.2574155331,1.768238861194e-01
7,0.2967338562,1.444581163035e-01
8,0.3340048790,1.274094854402e-01
9,0.3895299435,1.136836947690e-01
10,0.4292955399,1.020470571867e-01
11,0.4632766247,8.920755086177e-02
12,0.5136451721,8.104979410727e-02
13,0.5541443825,7.525211660410e-02
14,0.5963926315,6.801747650577e-02
15,0.6424942017,6.644024003901e-02
16,0.6852941513,5.986454242497e-02
17,0.7293913364,5.575992635503e-02
18,0.7684044838,5.240288685919e-02
19,0.8079805374,4.936991789105e-02
20,0.8506584167,4.912344493284e-02
21,0.8904161453,4.632990124236e-02
22,0.9319643974,4.257821359873e-02
23,0.9675014019,4.142695721575e-02
24,1.0098226070,3.886849066592e-02
25,1.0539262295,3.707785854787e-02
26,1.1078402996,3.648055432530e-02
27,1.1646924019,3.574442887335e-02
28,1.2312657833,3.379485444695e-02
29,1.2853372097,3.220027217666e-02
30,1.3311624527,3.209817493914e-02
31,1.3709309101,3.014603989019e-02
32,1.4132556915,2.918728627428e-02
33,1.4557800293,2.818804272693e-02
34,1.4940810204,2.746007522463e-02
35,1.5392327309,2.710137999198e-02
36,1.5856275558,2.691926425103e-02
37,1.6261658669,2.501005366351e-02
38,1.6770329475,2.482375482459e-02
39,1.7231416702,2.417545824693e-02
40,1.7646951675,2.307928122206e-02
41,1.8056092262,2.293203723635e-02
42,1.8532044888,2.257559442985e-02
43,1.8886342049,2.180802463941e-02
44,1.9234223366,2.115617229479e-02
45,1.9577353001,2.081076459334e-02
46,1.9928884506,2.023813536022e-02
47,2.0350723267,2.009999439572e-02
48,2.0785081387,1.935740320245e-02
49,2.1191778183,1.924586837371e-02
50,2.1800429821,1.932053945098e-02
51,2.3049230576,1.812137908246e-02
52,2.3534624577,1.798588995174e-02
53,2.3894839287,1.765505691584e-02
54,2.4302752018,1.750014502882e-02
55,2.4674954414,1.729527090531e-02
56,2.5254969597,1.645306276478e-02
57,2.5694925785,1.641340990752e-02
58,2.6091306210,1.612820264256e-02
59,2.6508285999,1.567069120297e-02
60,2.6905212402,1.566861689944e-02
61,2.7345747948,1.513491065436e-02
62,2.7730786800,1.479969733749e-02
63,2.8124914169,1.520427871982e-02
64,2.8592574596,1.483537970514e-02
65,2.8946738243,1.447833963570e-02
66,2.9322996140,1.428763504635e-02
67,2.9675247669,1.377518820118e-02
68,3.0035881996,1.368025498992e-02
69,3.0401310921,1.370803565805e-02
70,3.0785102844,1.316487007734e-02
71,3.1305935383,1.311572064468e-02
72,3.1648252010,1.312233488260e-02
73,3.2017416954,1.272808130417e-02
74,3.2377145290,1.272580151458e-02
75,3.2735528946,1.238195488854e-02
76,3.3193924427,1.221915941212e-02
77,3.3507025242,1.208643216961e-02
78,3.3919179440,1.205234965030e-02
79,3.4558780193,1.196533062398e-02
80,3.5020344257,1.180268539314e-02
81,3.5459260941,1.126550385014e-02
82,3.5958747864,1.135778868786e-02
83,3.6395404339,1.145647161667e-02
84,3.6851117611,1.098309299558e-02
85,3.7213840485,1.097245382101e-02
86,3.7557084560,1.094819525361e-02
87,3.8013842106,1.060910724843e-02
88,3.8419907093,1.064439513196e-02
89,3.8780958652,1.069328014881e-02
90,3.9214417934,1.017309227207e-02
91,3.9611661434,1.020401597394e-02
92,3.9991300106,1.023338185033e-02
93,4.0373203754,1.001298316784e-02
94,4.0699875355,9.901881883324e-03
95,4.1136186123,9.936811363693e-03
96,4.1521582603,9.495337892936e-03
97,4.1890325546,9.535202813763e-03
98,4.2247714996,9.575214567151e-03
99,4.2750697136,9.292424782549e-03
100,4.3154878616,9.332937976424e-03
101,4.3503665924,9.412471265581e-03
102,4.3897688389,9.007420293419e-03
103,4.4288866520,8.991914790658e-03
104,4.4636988640,8.734549772769e-03
105,4.4921588898,8.785597317227e-03
106,4.5351488590,9.032996951651e-03
107,4.5740022659,8.804573557405e-03
108,4.6056816578,8.731702046740e-03
109,4.6375072002,8.427328300234e-03
110,4.6764016151,8.494785315521e-03
111,4.7166254520,8.493011642018e-03
112,4.7685794830,8.233462714914e-03
113,4.7994604111,8.113483453809e-03
114,4.8444199562,8.110654471111e-03
115,4.8853762150,8.048800017738e-03
116,4.9263849258,7.995344681077e-03
117,4.9705426693,8.121932301277e-03
118,5.0090150833,7.902413906530e-03
119,5.0488898754,7.646550246505e-03
120,5.0975372791,7.824147423623e-03
121,5.1333339214,7.734530879571e-03
122,5.1758792400,7.495382986456e-03
123,5.2188670635,7.453189458475e-03
124,5.2562916279,7.442133356427e-03
125,5.2872493267,7.356427865379e-03
126,5.3231506348,7.404432959740e-03
127,5.3630471230,7.302979129855e-03
128,5.3965365887,7.238192859711e-03
129,5.4765169621,7.229490733143e-03
130,5.5101284981,7.063297004235e-03
131,5.5614490509,7.140137243144e-03
132,5.6044297218,7.015858386538e-03
133,5.6432578564,7.138789413257e-03
134,5.6878099442,6.847663645168e-03
135,5.7255821228,6.823762255154e-03
136,5.7642869949,7.043556342961e-03
137,5.8064649105,6.763841189128e-03
138,5.8466229439,6.701908805071e-03
139,5.8834629059,6.765450173714e-03
140,5.9210181236,6.508135280348e-03
141,5.9529638290,6.605085665238e-03
142,5.9907319546,6.642009068209e-03
143,6.0419745445,6.470904546319e-03
144,6.0850110054,6.464580486284e-03
145,6.1218159199,6.506148201928e-03
146,6.1614511013,6.246844295313e-03
147,6.2002086639,6.348178963152e-03
148,6.2292525768,6.494243341755e-03
149,6.2666115761,6.211536869849e-03
150,6.3117194176,6.103064331910e-03
151,6.3539259434,6.004100603567e-03
152,6.4000432491,6.028274348180e-03
153,6.4335227013,6.332311861664e-03
154,6.4694921970,6.166486216223e-03
155,6.5070014000,5.917539199164e-03
156,6.5426161289,5.900171417388e-03
157,6.5802862644,5.963482550126e-03
158,6.6236164570,6.040364543278e-03
159,6.6632344723,5.830655581092e-03
160,6.6957092285,5.802618997225e-03
161,6.7518203259,5.684788604612e-03
162,6.7920756340,5.833161769344e-03
163,6.8303596973,5.746212066433e-03
164,6.8710858822,5.695999446314e-03
165,6.9152393341,5.608595807047e-03
166,6.9527742863,5.570249466390e-03
167,7.0019626617,5.609734483871e-03
168,7.0392928123,5.491134624782e-03
169,7.0703980923,5.516276665008e-03
170,7.1110968590,5.397079379993e-03
171,7.1514153481,5.445580233124e-03
172,7.1921246052,5.378918321543e-03
173,7.2469680309,5.412476540053e-03
174,7.2860059738,5.320069570403e-03
175,7.3235952854,5.239151217106e-03
176,7.3616850376,5.286769114865e-03
177,7.3942832947,5.220259082748e-03
178,7.4344770908,5.197447001065e-03
179,7.4784886837,5.069779746055e-03
180,7.5141625404,5.165576534048e-03
181,7.5518717766,5.182364023096e-03
182,7.5859045982,5.150397775621e-03
183,7.6228430271,4.924990461981e-03
184,7.6557302475,5.019516549361e-03
185,7.6999828815,5.163648020437e-03
186,7.7395803928,4.900471993450e-03
187,7.7727165222,4.995177039408e-03
188,7.8030543327,5.087313559055e-03
189,7.8363435268,4.926784590695e-03
190,7.8713858128,4.899564390735e-03
191,7.9053015709,4.948938678844e-03
192,7.9509370327,4.781713989107e-03
193,7.9838392735,4.768934955695e-03
194,8.0219841003,4.992836928008e-03
195,8.0658330917,4.785035625050e-03
196,8.0982139111,4.618388045082e-03
197,8.1395559311,4.778958178455e-03
198,8.1830580235,4.589144508854e-03
199,8.2218399048,4.710319264288e-03
200,8.2519664764,4.726352111062e-03
201,8.2896676064,4.591346411559e-03
202,8.3284945488,4.604086670624e-03
203,8.3600237370,4.582378051749e-03
204,8.3990077972,4.485582111413e-03
205,8.4343786240,4.557725339214e-03
206,8.4747161865,4.385438036498e-03
207,8.5310618877,4.466766403775e-03
208,8.5676257610,4.485300019337e-03
209,8.5992341042,4.462998650397e-03
210,8.6427173615,4.329961686698e-03
211,8.6845333576,4.499719223211e-03
212,8.7179377079,4.418476131675e-03
213,8.7610433102,4.477002150370e-03
214,8.8042507172,4.287849027400e-03
215,8.8345928192,4.339207168939e-03
216,8.8827676773,4.392198474653e-03
217,8.9194808006,4.295756421911e-03
218,8.9570031166,4.265139219118e-03
219,8.9959087372,4.287024856203e-03
220,9.0298881531,4.240977633605e-03
221,9.0663239956,4.252199237678e-03
222,9.1019761562,4.178417412571e-03
223,9.1390154362,4.181498024128e-03
224,9.1821401119,4.122877906682e-03
225,9.2331497669,4.097185507215e-03
226,9.2722415924,4.053417640972e-03
227,9.3050758839,4.146886871058e-03
228,9.3387279510,4.092477743569e-03
229,9.3735029697,4.059647518578e-03
230,9.4151747227,3.989764752583e-03
231,9.4455003738,4.035226891876e-03
232,9.4884076118,3.973934364402e-03
233,9.5214776993,4.009243683494e-03
234,9.5575995445,3.920654312298e-03
235,9.5945301056,3.861700206400e-03
236,9.6329786777,3.961757760834e-03
237,9.6682412624,3.941886862128e-03
238,9.7118284702,3.864243828952e-03
239,9.7501296997,3.783938578720e-03
240,9.7803084850,3.856878492462e-03
241,9.8226199150,3.910756396158e-03
242,9.8559467793,3.871264142732e-03
243,9.8856663704,3.856409908691e-03
244,9.9236254692,3.698045308620e-03
245,9.9659349918,3.831554511601e-03
246,9.9928784370,3.752630535465e-03
247,10.0369102955,3.709047855397e-03
248,10.0725340843,3.686083494820e-03
249,10.1092150211,3.709660737287e-03
