iteration,cumulative_seconds,relative_gap
1,0.0212359428,9.293536162823e+00
2,0.0433397293,1.625151222141e+00
3,0.0625178814,1.330879303581e+00
4,0.0850951672,4.044440980334e-01
5,0.1054570675,2.287189331767e-01
6,0.1328279972,1.731588683782e-01
7,0.1530783176,1.433272153756e-01
8,0.1721265316,1.269497788644e-01
9,0.1941764355,1.069011974745e-01
10,0.2135512829,1.023147525004e-01
11,0.2362105846,9.051834300776e-02
12,0.2579839230,7.927618455073e-02
13,0.2773363590,7.342343768646e-02
14,0.2961943150,6.771303719155e-02
15,0.3160493374,6.173193835269e-02
16,0.3345894814,5.854024423327e-02
17,0.3606579304,5.589703241638e-02
18,0.3810460567,5.190435633727e-02
19,0.4016900063,5.144124821696e-02
20,0.4209678173,4.665314247581e-02
21,0.4395854473,4.378421070670e-02
22,0.4638378620,4.218611521141e-02
23,0.4847950935,4.012505368368e-02
24,0.5054159164,3.885871765745e-02
25,0.5288443565,3.926934985022e-02
26,0.5504112244,3.585692334021e-02
27,0.5704476833,3.384354176340e-02
28,0.5949270725,3.357869740237e-02
29,0.6197850704,3.228007082904e-02
30,0.6402149200,3.047345053393e-02
31,0.6616685390,3.096755926836e-02
32,0.6848564148,2.906485895824e-02
33,0.7073452473,2.752245611128e-02
34,0.7297699451,2.734254708460e-02
35,0.7525572777,2.631901471597e-02
36,0.7724859715,2.546891916003e-02
37,0.7949035168,2.530923527465e-02
38,0.8213126659,2.411965646763e-02
39,0.8463737965,2.338796378602e-02
40,0.8661074638,2.367890259841e-02
41,0.8866865635,2.282013880380e-02
42,0.9128108025,2.196031997814e-02
43,0.9335472584,2.132536788823e-02
44,0.9608390331,2.072154465022e-02
45,0.9829394817,2.014931247350e-02
46,1.0022838116,2.070932668992e-02
47,1.0228111744,1.971664901310e-02
48,1.0438032150,1.885753133905e-02
49,1.0662200451,1.867056075042e-02
50,1.0886759758,1.876790888883e-02
51,1.1076674461,1.846510820469e-02
52,1.1287195683,1.749465461291e-02
53,1.1496512890,1.733171552930e-02
54,1.1729776859,1.691052144835e-02
55,1.2008068562,1.690093215418e-02
56,1.2204205990,1.654382567495e-02
57,1.2402706146,1.597503511204e-02
58,1.2635738850,1.561271626489e-02
